add-m,16,100000,3200000,640375837,200,0
add-m,20,100000,4000000,789678682,197,0
add-yield-m,1,10,20,189521,9476,0
add-yield-m,2,10,40,235923,5898,0
add-yield-m,4,10,80,310910,3886,0
add-yield-m,8,10,160,414325,2589,0
add-yield-m,12,10,240,538496,2243,0
add-yield-m,16,10,320,1413829,4418,0
add-yield-m,20,10,400,897579,2243,0
add-yield-m,1,20,40,181499,4537,0
add-yield-m,2,20,80,285493,3568,0
add-yield-m,4,20,160,387733,2423,0
add-yield-m,8,20,320,647672,2023,0
add-yield-m,12,20,480,914109,1904,0
add-yield-m,16,20,640,1370118,2140,0
add-yield-m,20,20,800,1574056,1967,0
add-yield-m,1,40,80,206955,2586,0
add-yield-m,2,40,160,352444,2202,0
add-yield-m,4,40,320,584470,1826,0
add-yield-m,8,40,640,1148721,1794,0
add-yield-m,12,40,960,1825451,1901,0
add-yield-m,16,40,1280,2324397,1815,0
add-yield-m,20,40,1600,2934314,1833,0
add-yield-m,1,80,160,251305,1570,0
add-yield-m,2,80,320,506424,1582,0
add-yield-m,4,80,640,1076500,1682,0
add-yield-m,8,80,1280,2181181,1704,0
add-yield-m,12,80,1920,3278593,1707,0
add-yield-m,16,80,2560,4445596,1736,0
add-yield-m,20,80,3200,5646092,1764,0
add-yield-m,1,100,200,278036,1390,0
add-yield-m,2,100,400,649851,1624,0
add-yield-m,4,100,800,1194713,1493,0
add-yield-m,8,100,1600,2652051,1657,0
add-yield-m,12,100,2400,4030372,1679,0
add-yield-m,16,100,3200,5618660,1755,0
add-yield-m,20,100,4000,6980006,1745,0
add-yield-m,1,1000,2000,1513313,756,0
add-yield-m,2,1000,4000,4687869,1171,0
add-yield-m,4,1000,8000,11557861,1444,0
add-yield-m,8,1000,16000,25686917,1605,0
add-yield-m,12,1000,24000,37916175,1579,0
add-yield-m,16,1000,32000,51806112,1618,0
add-yield-m,20,1000,40000,68429665,1710,0
add-yield-m,1,10000,20000,13419989,670,0
add-yield-m,2,10000,40000,41813021,1045,0
add-yield-m,4,10000,80000,112277902,1403,0
add-yield-m,8,10000,160000,245380490,1533,0
add-yield-m,12,10000,240000,382505568,1593,0
add-yield-m,16,10000,320000,513860551,1605,0
add-yield-m,20,10000,400000,672981640,1682,0
add-yield-m,1,100000,200000,132100241,660,0
add-yield-m,2,100000,400000,399417451,998,0
add-yield-m,4,100000,800000,1151463351,1439,0
add-yield-m,8,100000,1600000,2499595547,1562,0
add-yield-m,12,100000,2400000,3847571715,1603,0
add-yield-m,16,100000,3200000,5280421465,1650,0
add-yield-m,20,100000,4000000,6618518212,1654,0
add-s,1,10,20,163860,8193,0
add-s,2,10,40,204046,5101,0
add-s,4,10,80,201266,2515,0
add-s,8,10,160,307061,1919,0
add-s,12,10,240,405881,1691,0
add-s,16,10,320,517751,1617,0
add-s,20,10,400,605226,1513,0
add-s,1,20,40,137446,3436,0
add-s,2,20,80,177841,2223,0
add-s,4,20,160,210538,1315,0
add-s,8,20,320,330069,1031,0
add-s,12,20,480,417460,869,0
add-s,16,20,640,501661,783,0
add-s,20,20,800,579817,724,0
add-s,1,40,80,140757,1759,0
add-s,2,40,160,192480,1203,0
add-s,4,40,320,210819,658,0
add-s,8,40,640,310234,484,0
add-s,12,40,960,438057,456,0
add-s,16,40,1280,489870,382,0
add-s,20,40,1600,616504,385,0
add-s,1,80,160,166805,1042,0
add-s,2,80,320,194161,606,0
add-s,4,80,640,267397,417,0
add-s,8,80,1280,549228,429,0
add-s,12,80,1920,427276,222,0
add-s,16,80,2560,489165,191,0
add-s,20,80,3200,1936827,605,0
add-s,1,100,200,168261,841,0
add-s,2,100,400,212402,531,0
add-s,4,100,800,217263,271,0
add-s,8,100,1600,537046,335,0
add-s,12,100,2400,383851,159,0
add-s,16,100,3200,482061,150,0
add-s,20,100,4000,589807,147,0
add-s,1,1000,2000,165623,82,0
add-s,2,1000,4000,425636,106,0
add-s,4,1000,8000,1586258,198,0
add-s,8,1000,16000,5983442,373,0
add-s,12,1000,24000,12548324,522,0
add-s,16,1000,32000,22009616,687,0
add-s,20,1000,40000,33535681,838,0
add-s,1,10000,20000,515951,25,0
add-s,2,10000,40000,3498275,87,0
add-s,4,10000,80000,14368526,179,0
add-s,8,10000,160000,60578282,378,0
add-s,12,10000,240000,128058084,533,0
add-s,16,10000,320000,222269213,694,0
add-s,20,10000,400000,335275005,838,0
add-s,1,100000,200000,3060911,15,0
add-s,2,100000,400000,57916205,144,0
add-s,4,100000,800000,150500921,188,0
add-s,8,100000,1600000,626333000,391,0
add-s,12,100000,2400000,1457788222,607,0
add-s,16,100000,3200000,2347071539,733,0
add-s,20,100000,4000000,3418821430,854,0
add-yield-s,1,10,20,265612,13280,0
add-yield-s,2,10,40,194273,4856,0
add-yield-s,4,10,80,259698,3246,0
add-yield-s,8,10,160,399906,2499,0
add-yield-s,12,10,240,654207,2725,0
add-yield-s,16,10,320,783494,2448,0
add-yield-s,20,10,400,961391,2403,0
add-yield-s,1,20,40,199004,4975,0
add-yield-s,2,20,80,227467,2843,0
add-yield-s,4,20,160,341303,2133,0
add-yield-s,8,20,320,605963,1893,0
add-yield-s,12,20,480,957394,1994,0
add-yield-s,16,20,640,1382111,2159,0
add-yield-s,20,20,800,1830932,2288,0
add-yield-s,1,40,80,227577,2844,0
add-yield-s,2,40,160,284389,1777,0
add-yield-s,4,40,320,542005,1693,0
add-yield-s,8,40,640,933275,1458,0
add-yield-s,12,40,960,1823637,1899,0
add-yield-s,16,40,1280,2711813,2118,0
add-yield-s,20,40,1600,3760654,2350,0
add-yield-s,1,80,160,274851,1717,0
add-yield-s,2,80,320,420389,1313,0
